quartier,prix_moyen,prix_min,prix_max,prix_med,nb_annonces,nb_log_entier,nb_chambre_privee,nb_chambre_hotel,nb_chambre_ptg,occup_max_moy
Diagonal Mar i el Front Marítim del Poblenou,206.259412470024,20.0,1780.0,80.0,139,95,36,8,0,5.18705035971223
El Barri Gòtic,101.62067402957678,13.5,5060.0,64.0,761,205,552,3,1,3.1235216819973717
El Camp d'en Grassot i Gràcia Nova,71.18349673202614,16.5,400.0,52.5,204,115,81,8,0,3.7058823529411766
El Camp de l'Arpa del Clot,90.04700348432054,14.0,1722.0,64.5,205,113,92,0,0,3.6926829268292685
El Fort Pienc,94.05111627306749,15.0,999.0,63.333333333333336,369,196,165,6,2,4.046070460704607
El Guinardó,58.87021857923497,10.5,650.0,45.0,122,33,88,0,1,3.0327868852459017
El Parc i la Llacuna del Poblenou,77.44319727891155,17.5,845.8333333333334,58.75,147,67,76,3,1,3.401360544217687
El Poble Sec,92.66449966844878,10.0,2535.0,57.0,766,454,291,8,13,4.026109660574413
El Poblenou,209.4492469879518,16.5,5060.0,73.0,332,175,144,10,3,3.5451807228915664
El Putxet i el Farró,74.99135427220534,16.285714285714285,290.0,60.0,141,92,49,0,0,3.8652482269503547
El Raval,75.52139310852546,8.333333333333334,1000.0,55.0,884,241,617,21,5,3.1018099547511313
Hostafrancs,84.68512691420177,11.0,551.0,60.0,227,121,103,3,0,3.933920704845815
L'Antiga Esquerra de l'Eixample,149.97882169913424,5.0,6000.0,60.33333333333333,752,391,320,32,9,4.037234042553192
La Barceloneta,106.16432119205297,2.8125,2200.0,62.666666666666664,151,50,101,0,0,2.6357615894039736
La Dreta de l'Eixample,155.89712870135543,5.0,4999.5,75.0,1526,997,414,105,10,4.716906946264745
La Nova Esquerra de l'Eixample,78.21371398152758,4.333333333333333,4517.0,50.0,574,218,339,11,6,3.4059233449477353
La Sagrada Família,87.66050898026704,9.333333333333334,5060.0,57.5,806,525,261,19,1,4.433002481389578
La Vila Olímpica del Poblenou,128.68649930986885,18.0,1500.0,74.75,138,88,49,0,1,4.8478260869565215
La Vila de Gràcia,88.96626331648756,4.444444444444445,2550.0,60.0,669,443,211,2,13,3.82660687593423
Les Corts,78.62494407158836,15.5,1175.0,54.0,149,83,59,0,7,3.530201342281879
Sant Antoni,197.57848171434154,11.166666666666666,6000.0,60.0,724,340,345,39,0,3.606353591160221
Sant Gervasi - Galvany,101.55681818181817,13.0,1000.0,76.0,242,133,102,5,2,3.6859504132231407
"Sant Pere, Santa Caterina i la Ribera",83.1276563381664,7.5,1690.0,60.0,647,213,412,16,6,2.9072642967542506
Sants,80.03633040935671,14.083333333333334,799.0,52.5,228,124,97,3,4,3.719298245614035
Sants - Badal,63.25440705128206,14.75,480.0,45.0,104,44,56,1,3,3.3173076923076925
